epoch,train_loss,val_loss,val_score,top1,top5,top10,mrr,median_rank,mean_diag_cosine,collapse_score
1,4.829228925704956,4.911890983581543,-1.0,0.00800000037997961,0.03999999910593033,0.07999999821186066,0.04309050738811493,64.0,0.002001979388296604,0.023421678511082334
2,4.80028415520986,4.9170379638671875,-1.0,0.00800000037997961,0.03999999910593033,0.08799999952316284,0.04267384111881256,64.0,0.002584500005468726,0.018281598153252525
3,4.788507866859436,4.911344528198242,-1.0,0.00800000037997961,0.03999999910593033,0.07999999821186066,0.04255134239792824,62.0,0.0023228577338159084,0.019018501204035167
4,4.781548802057902,4.9116387367248535,-1.0,0.00800000037997961,0.03999999910593033,0.07999999821186066,0.042758118361234665,63.0,0.0009462739108130336,0.026153249104500693
5,4.776007994016012,4.9085893630981445,-1.0,0.00800000037997961,0.03999999910593033,0.07199999690055847,0.04359468072652817,64.0,-8.670202078064904e-05,0.04554207700267917
6,4.775795451800028,4.911206245422363,-1.0,0.00800000037997961,0.03999999910593033,0.07199999690055847,0.042737532407045364,62.0,0.0005592302186414599,0.05237389343665917
7,4.768516739209493,4.916799068450928,0.05958767794072628,0.00800000037997961,0.03999999910593033,0.06400000303983688,0.04358767718076706,65.0,-0.002613707445561886,0.1017940727839744
8,4.7562777121861775,4.9253950119018555,0.06214733421802521,0.00800000037997961,0.03200000151991844,0.07999999821186066,0.04214733466506004,64.0,0.0004856915329582989,0.17922869793518081
9,4.748721249898275,4.915454864501953,0.05276358686387539,0.0,0.03999999910593033,0.06400000303983688,0.03676358610391617,62.0,-0.003284309757873416,0.20639311298472096
10,4.713598918914795,4.9177045822143555,0.07143046706914902,0.00800000037997961,0.04800000041723251,0.09600000083446503,0.04743046686053276,59.0,0.00042139875586144626,0.4178012585678717
11,4.673795835177104,4.912062644958496,0.04650881793349981,0.00800000037997961,0.01600000075995922,0.03200000151991844,0.0385088175535202,59.0,0.0016561649972572923,0.6247290572497123
12,4.621911017100016,4.960201740264893,0.04972877725958824,0.0,0.00800000037997961,0.07199999690055847,0.031728778034448624,65.0,0.00022042343334760517,0.7458091020886525
13,4.557105509440104,4.945797920227051,0.049814898520708084,0.0,0.01600000075995922,0.07199999690055847,0.031814899295568466,63.0,0.005815273616462946,0.7993846765041741
14,4.493657978375753,4.9578094482421875,0.05152052640914917,0.0,0.024000000208616257,0.07199999690055847,0.03352052718400955,58.0,0.0031496870797127485,0.7917397942891581
15,4.436722612380981,5.001659393310547,0.04441971331834793,0.0,0.024000000208616257,0.0560000017285347,0.030419712886214256,61.0,-0.0007253008079715073,0.870824715738669
16,4.386797587076823,4.987473487854004,0.05001144856214523,0.0,0.024000000208616257,0.07199999690055847,0.032011449337005615,61.0,0.0008491395274177194,0.8468722153546091
17,4.326657470067342,4.971478462219238,0.06279712542891502,0.00800000037997961,0.024000000208616257,0.09600000083446503,0.03879712522029877,59.0,0.0024468107149004936,0.9190857795140636
18,4.285526784261068,4.990029335021973,0.05707888677716255,0.00800000037997961,0.024000000208616257,0.07199999690055847,0.039078887552022934,63.0,0.0017767819808796048,0.8947292455847469
19,4.2526365121205645,4.982052803039551,0.04650927148759365,0.0,0.01600000075995922,0.0560000017285347,0.032509271055459976,61.0,0.0012093200348317623,0.9178350828644594
20,4.202755196889242,4.996653079986572,0.04930967278778553,0.00800000037997961,0.024000000208616257,0.03999999910593033,0.03930967301130295,59.0,0.001404072972945869,0.9302176468914035
21,4.153914411862691,5.028377056121826,0.04475412704050541,0.0,0.024000000208616257,0.0560000017285347,0.030754126608371735,66.0,-0.0013737360714003444,0.9208355217779909
22,4.124971985816956,5.031746864318848,0.03591503482311964,0.0,0.01600000075995922,0.03200000151991844,0.02791503444314003,64.0,-0.0010557357454672456,0.9243100075747844
23,4.09194028377533,5.017937660217285,0.03653777949512005,0.0,0.00800000037997961,0.03999999910593033,0.026537779718637466,62.0,0.00012843853619415313,0.9329666627563922
24,4.059112425645193,5.020885467529297,0.0315226586535573,0.0,0.00800000037997961,0.024000000208616257,0.025522658601403236,62.0,0.00046697421930730343,0.9471248967852223
25,4.017437938849131,5.035725116729736,0.038609664887189865,0.0,0.00800000037997961,0.04800000041723251,0.026609664782881737,62.0,-0.0014613766688853502,0.9661656532468242
26,3.999802748362223,5.051840782165527,0.034185752272605896,0.0,0.0,0.03999999910593033,0.024185752496123314,65.0,-0.002556953113526106,0.9462504479291212
27,3.965195095539093,5.051065444946289,0.03898613154888153,0.0,0.01600000075995922,0.03999999910593033,0.02898613177239895,70.0,-0.0014688518131151795,0.9473350212544109
28,3.9246605674425763,5.044456481933594,0.031697084195911884,0.0,0.00800000037997961,0.024000000208616257,0.02569708414375782,69.0,-0.0019733221270143986,0.9496740072568951
29,3.906886863708496,5.043573379516602,0.03445022087544203,0.0,0.00800000037997961,0.03200000151991844,0.026450220495462418,68.0,-0.0009596188319846988,0.9546550888759785
30,3.8766032536824544,5.0379414558410645,0.03824448399245739,0.0,0.01600000075995922,0.04800000041723251,0.02624448388814926,64.0,-0.0009852455696091056,0.9628610912571076
31,3.8486896475156147,5.01634407043457,0.045991893857717514,0.0,0.024000000208616257,0.06400000303983688,0.029991893097758293,57.0,0.0005056455265730619,0.952852984405099
32,3.8245410601298016,5.017684459686279,0.04034002311527729,0.0,0.01600000075995922,0.04800000041723251,0.028340023010969162,61.0,0.000883303233422339,0.9606175395995524
33,3.794869144757589,5.014775276184082,0.04081661254167557,0.0,0.00800000037997961,0.04800000041723251,0.02881661243736744,61.0,0.0001535229675937444,0.9623313884151657
34,3.7728203813234966,5.028923034667969,0.03828517999500036,0.0,0.01600000075995922,0.03200000151991844,0.030285179615020752,62.0,-0.0003276783099863678,0.9565240818434807
35,3.7560736854871113,5.045407295227051,0.04652726836502552,0.00800000037997961,0.024000000208616257,0.04800000041723251,0.03452726826071739,64.0,-0.0023470567539334297,0.9613651367865533
36,3.733301103115082,5.0376200675964355,0.04344568029046059,0.0,0.024000000208616257,0.0560000017285347,0.029445679858326912,63.0,-0.0003622508083935827,0.9614897926211685
37,3.7021288514137267,5.0348663330078125,0.04203808680176735,0.0,0.00800000037997961,0.0560000017285347,0.028038086369633675,63.0,-0.000941199017688632,0.9601554853507859
38,3.674940025806427,5.028385639190674,0.04219510965049267,0.0,0.00800000037997961,0.04800000041723251,0.03019510954618454,61.0,3.949165147787426e-06,0.9529331323638048
39,3.667355501651764,5.015605926513672,0.04432951845228672,0.0,0.01600000075995922,0.0560000017285347,0.030329518020153046,63.0,0.00034933144343085587,0.9625726768430082
40,3.639183262983958,5.036190032958984,0.04370935820043087,0.0,0.03200000151991844,0.04800000041723251,0.03170935809612274,64.0,-0.0007729444769211113,0.9596168302605586
41,3.6230159838994345,5.018763542175293,0.04490139149129391,0.0,0.03999999910593033,0.04800000041723251,0.03290139138698578,64.0,0.00020902472897432745,0.9632048238091968
42,3.5926565408706663,5.019710540771484,0.05277950502932072,0.0,0.03200000151991844,0.06400000303983688,0.036779504269361496,65.0,-0.00030060249264352024,0.954172089744431
43,3.596911386648814,5.027531147003174,0.06083408370614052,0.00800000037997961,0.03999999910593033,0.08799999952316284,0.03883408382534981,64.0,-0.0006911992095410824,0.9616525377385827
44,3.5597373127937315,5.0231733322143555,0.06015845760703087,0.00800000037997961,0.03999999910593033,0.07199999690055847,0.04215845838189125,59.0,6.20663195149973e-05,0.9587561475975755
45,3.544380211830139,5.020685195922852,0.05560458451509476,0.0,0.03200000151991844,0.07199999690055847,0.03760458528995514,66.0,0.00022626582358498126,0.9584079389213436
46,3.525407691796621,5.02335786819458,0.052254993468523026,0.0,0.01600000075995922,0.07199999690055847,0.03425499424338341,61.0,-5.456054350361228e-05,0.9666421493300889
47,3.4969162940979004,5.016566753387451,0.04873846285045147,0.0,0.024000000208616257,0.06400000303983688,0.03273846209049225,64.0,-0.00012009680358460173,0.9659854259087017
48,3.492149285475413,5.019344329833984,0.0442760419100523,0.0,0.01600000075995922,0.0560000017285347,0.030276041477918625,62.0,-0.0006095888675190508,0.9734871566063243
49,3.4832033634185793,5.012367248535156,0.050644801929593086,0.0,0.03999999910593033,0.06400000303983688,0.034644801169633865,64.0,0.000608429778367281,0.9676653237449687
50,3.445365031560262,5.004588603973389,0.054963357746601105,0.0,0.03200000151991844,0.07199999690055847,0.03696335852146149,61.0,0.0007526936242356896,0.9715135236800903
